review_score,payment_value,deliver_time
5,753.94,24.0
3,64.09,10.0
4,59.47,7.0
4,91.18,13.0
5,83.33,10.0
4,28.46,12.0
5,53.3,13.0
5,76.29,1.0
4,403.32,9.0
5,95.21,8.0
5,103.5,6.0
5,211.89,6.0
2,111.4,6.0
5,143.32,19.0
5,45.95,16.0
1,223.26,81.0
5,124.7,9.0
3,41.69,10.0
5,216.93,6.0
5,241.74,6.0
5,136.37,7.0
4,30.96,12.0
5,48.83,3.0
5,75.1,8.0
4,76.67,4.0
5,198.12,17.0
5,132.05,10.0
4,112.46,10.0
1,84.43,22.0
5,210.64,12.0
4,124.76,7.0
5,69.73,14.0
5,31.22,12.0
5,22.18,4.0
5,76.85,13.0
4,32.69,22.0
5,100.57,19.0
5,88.31,2.0
5,55.56,9.0
5,363.96,20.0
5,84.91,23.0
4,207.02,22.0
5,419.12,10.0
4,42.27,4.0
5,94.74,11.0
2,79.63,13.0
3,194.06,24.0
5,39.75,20.0
5,50.86,14.0
5,108.2,12.0
5,102.74,28.0
5,72.05,9.0
4,24.38,1.0
5,56.78,5.0
3,131.33,14.0
5,238.41,8.0
3,148.69,6.0
5,116.34,26.0
5,204.06,11.0
5,96.8,31.0
4,130.69,11.0
5,322.17,13.0
4,275.19,1.0
4,78.22,10.0
5,40.86,6.0
4,206.87,7.0
1,998.49,9.0
4,257.42,15.0
5,61.75,4.0
5,77.03,23.0
5,96.88,2.0
3,57.46,17.0
5,73.34,8.0
5,39.75,7.0
4,159.07,8.0
3,159.04,20.0
4,34.0,12.0
5,49.239999999999995,5.0
4,63.86,6.0
5,177.36,7.0
5,143.94,2.0
5,174.42,16.0
1,180.45,27.0
5,165.57,10.0
5,101.34,30.0
5,69.32,2.0
5,139.56,2.0
5,54.36,13.0
5,436.7,8.0
4,192.95,24.0
5,1255.43,14.0
5,72.64,18.0
4,51.79,7.0
5,90.88,12.0
1,307.64,11.0
5,85.24,17.0
5,41.69,13.0
5,96.02,8.0
4,26.29,5.0
3,1119.6,3.0
5,83.1,19.0
4,44.0,8.0
5,44.41,11.0
5,2031.09,9.0
1,222.68,34.0
5,87.58,6.0
5,264.22,9.0
5,368.11,10.0
4,96.47,2.0
5,221.28,6.0
5,172.42,14.0
5,283.54,11.0
5,44.37,16.0
5,161.01,6.0
5,139.17,11.0
5,117.74,11.0
5,125.33,28.0
5,201.42,8.0
5,30.79,6.0
4,190.48,23.0
5,33.77,2.0
5,55.620000000000005,13.0
4,44.87,9.0
4,383.98,8.0
5,83.22,9.0
5,97.87,6.0
3,109.26,7.0
1,104.37,9.0
4,205.57,14.0
5,137.38,11.0
5,104.08,1.0
5,222.7,9.0
5,94.3,18.0
4,79.2,9.0
1,95.58,11.0
5,128.55,10.0
3,148.76,14.0
4,138.48,7.0
5,72.68,7.0
5,32.13,5.0
3,150.21,25.0
5,112.77,15.0
5,180.32,8.0
1,171.84,10.0
3,43.78,14.0
4,100.91,23.0
5,205.26,14.0
5,82.59,14.0
5,52.92,8.0
5,188.94,0.0
5,77.66,11.0
5,195.92,11.0
5,100.34,6.0
4,73.34,5.0
5,499.4,17.0
3,301.3,12.0
1,145.5,10.0
5,55.04,9.0
1,107.87,18.0
1,107.87,18.0
4,306.16,9.0
1,2751.24,31.0
5,91.23,10.0
5,154.7,9.0
1,355.77,9.0
4,138.03,8.0
1,212.88,19.0
5,65.71,7.0
5,32.7,5.0
4,99.9,5.0
5,87.21,20.0
5,109.31,5.0
5,133.35,13.0
5,49.41,2.0
3,179.22,5.0
5,141.97,7.0
1,71.14,13.0
5,85.52,7.0
5,272.8,7.0
5,67.6,4.0
4,134.66,4.0
5,63.08,9.0
5,149.85,7.0
4,46.13,11.0
5,326.36,10.0
4,200.23,14.0
1,86.67,6.0
5,374.15,12.0
5,378.83,24.0
5,134.71,13.0
5,27.98,10.0
5,63.98,13.0
4,44.1,8.0
1,112.86,11.0
5,64.79,10.0
5,120.68,5.0
5,73.25,59.0
4,86.25,13.0
5,189.34,8.0
4,35.45,4.0
5,208.7,24.0
5,66.78,23.0
5,70.06,9.0
3,76.76,38.0
1,695.99,49.0
1,155.14,13.0
1,1727.67,40.0
5,69.45,14.0
5,299.75,15.0
5,41.86,7.0
5,143.9,16.0
5,31.75,4.0
5,95.24,20.0
1,171.32,28.0
3,218.0,19.0
5,44.42,11.0
2,413.53,16.0
3,106.97,16.0
4,45.78,15.0
5,429.64,9.0
5,117.96,3.0
5,58.95,4.0
5,44.09,11.0
4,76.34,19.0
5,117.97,13.0
3,921.04,14.0
4,48.99,6.0
5,35.36,5.0
5,164.06,13.0
2,224.84,5.0
4,95.4,10.0
3,144.14,2.0
3,42.42,25.0
5,209.2,3.0
5,140.61,12.0
3,311.81,8.0
5,110.98,6.0
5,20.04,6.0
5,916.02,12.0
5,43.95,14.0
1,89.02,30.0
5,596.27,17.0
4,215.15,11.0
5,75.08,6.0
5,31.75,13.0
4,48.71,8.0
4,76.17,5.0
5,193.82,6.0
3,205.07,29.0
3,105.28,7.0
5,228.43,11.0
1,36.52,16.0
2,197.87,5.0
3,196.95,2.0
4,213.56,10.0
4,300.76,18.0
4,36.35,13.0
4,502.12,5.0
5,339.09,8.0
5,36.69,14.0
5,192.14,28.0
4,198.16,7.0
5,20.29,3.0
1,1480.73,11.0
5,210.56,11.0
3,345.46,6.0
5,32.94,4.0
4,42.09,7.0
4,324.32,22.0
3,42.69,21.0
4,63.12,1.0
5,34.86,10.0
5,135.41,15.0
4,140.67,7.0
5,132.09,19.0
4,77.38,13.0
4,400.65,25.0
1,57.59,24.0
5,101.78,12.0
4,131.05,12.0
4,783.12,15.0
5,51.2,2.0
5,139.59,14.0
5,47.1,7.0
4,31.99,3.0
5,92.57,3.0
1,148.68,10.0
5,88.37,2.0
5,93.12,5.0
1,135.52,6.0
5,71.27,9.0
5,62.08,9.0
5,297.2,22.0
5,307.0,17.0
5,145.58,9.0
4,137.74,21.0
4,335.48,28.0
5,132.57,35.0
5,53.82,12.0
1,163.32,35.0
5,96.17,5.0
5,56.78,3.0
5,154.73,7.0
5,44.09,5.0
5,44.09,5.0
4,183.89,12.0
5,96.62,6.0
3,147.64,13.0
5,130.27,7.0
1,147.28,45.0
3,46.16,12.0
5,22.38,6.0
5,107.78,16.0
1,696.15,7.0
4,236.41,5.0
5,119.89,9.0
4,587.94,6.0
5,90.28,13.0
5,139.41,1.0
1,360.4,33.0
5,147.59,7.0
3,126.33,11.0
5,87.44,10.0
5,665.87,17.0
5,36.69,9.0
3,27.29,4.0
4,18.76,9.0
5,220.04,5.0
3,76.08,13.0
3,133.28,9.0
5,62.74,20.0
4,455.29,10.0
5,86.02,12.0
5,243.36,16.0
5,22.78,13.0
3,220.02,4.0
5,133.25,15.0
5,55.96,10.0
1,48.6,13.0
5,70.12,16.0
5,64.09,4.0
5,165.71,10.0
5,162.04,3.0
5,46.69,24.0
4,147.81,25.0
5,59.1,11.0
4,307.68,13.0
3,53.37,8.0
5,162.04,3.0
3,73.34,5.0
3,227.38,12.0
5,129.46,19.0
1,158.97,4.0
4,96.9,11.0
1,172.81,23.0
5,122.37,1.0
5,34.86,5.0
5,54.0,16.0
3,42.68,11.0
5,722.05,29.0
4,108.77,10.0
5,75.68,8.0
5,36.09,21.0
5,38.16,5.0
5,104.37,6.0
4,54.09,15.0
5,71.64,18.0
5,92.57,4.0
3,48.08,6.0
4,26.79,6.0
5,60.13,5.0
4,295.0,28.0
5,122.42,6.0
1,173.53,37.0
5,235.83,5.0
5,53.0,5.0
5,83.41,12.0
1,88.49,5.0
5,226.14,21.0
5,79.24,5.0
1,72.14,12.0
5,65.71,7.0
5,73.68,10.0
1,98.69,3.0
5,76.63,1.0
5,37.86,4.0
5,163.13,9.0
5,107.78,12.0
4,36.77,13.0
5,69.9,22.0
1,126.11,36.0
3,78.09,24.0
2,36.77,11.0
5,179.22,10.0
1,278.06,18.0
5,37.54,13.0
5,163.52,2.0
4,48.95,7.0
4,33.22,7.0
5,163.5,12.0
5,110.42,20.0
5,118.23,20.0
5,64.39,6.0
5,38.72,4.0
1,55.63,75.0
5,223.97,5.0
4,479.7,8.0
4,110.0,20.0
5,63.37,9.0
5,54.0,13.0
4,343.5,11.0
5,314.21,4.0
5,100.34,15.0
1,42.1,39.0
5,124.12,11.0
5,124.12,11.0
4,116.13,20.0
4,224.77,27.0
1,262.86,27.0
5,136.4,8.0
5,347.31,7.0
5,137.6,8.0
5,70.6,14.0
4,89.11,11.0
4,21.43,3.0
3,176.78,18.0
3,111.92,2.0
3,154.38,6.0
5,112.92,8.0
5,828.08,7.0
5,259.98,4.0
5,264.07,6.0
5,87.55,11.0
5,339.86,13.0
5,106.16,19.0
4,136.04,10.0
5,98.82,9.0
5,119.24,4.0
5,192.03,18.0
4,442.52,7.0
3,36.75,8.0
4,29.24,3.0
5,438.48,15.0
5,147.16,11.0
5,124.5,7.0
1,315.24,8.0
5,49.84,4.0
3,56.5,14.0
1,1008.3,57.0
5,125.52,6.0
5,132.4,12.0
4,40.0,24.0
4,186.76,5.0
4,133.06,27.0
4,195.17,5.0
4,73.49,12.0
5,153.2,14.0
1,75.71,18.0
5,48.79,10.0
5,133.89,15.0
3,651.84,7.0
4,72.25,9.0
4,36.0,16.0
5,124.69,6.0
5,91.19,4.0
5,148.18,11.0
2,82.32,28.0
2,125.16,5.0
4,98.28,6.0
4,49.09,3.0
1,85.79,26.0
5,35.09,12.0
5,41.43,11.0
5,93.59,27.0
4,132.49,4.0
3,161.84,22.0
5,35.69,10.0
4,175.1,15.0
4,13.39,3.0
5,88.26,22.0
4,108.51,0.0
5,47.74,8.0
2,99.8,26.0
1,89.36,13.0
4,46.93,19.0
4,155.29,8.0
1,54.1,8.0
5,319.99,13.0
4,60.22,15.0
5,105.37,4.0
5,76.65,11.0
3,79.15,18.0
4,88.08,5.0
5,74.63,12.0
1,46.78,23.0
5,854.89,13.0
5,67.05,27.0
1,112.08,24.0
1,211.26,54.0
5,166.7,19.0
1,137.04,30.0
1,140.08,5.0
5,22.77,2.0
5,60.09,19.0
4,164.63,5.0
3,102.85,30.0
5,246.42,3.0
1,112.1,9.0
5,85.6,10.0
5,235.13,9.0
4,43.0,30.0
5,162.65,6.0
5,215.56,9.0
1,112.94,36.0
5,225.42,11.0
5,58.43,12.0
5,27.71,3.0
4,415.83,7.0
5,186.1,20.0
5,164.71,17.0
3,104.87,32.0
5,222.38,8.0
5,144.99,4.0
1,125.43,39.0
5,43.54,5.0
5,47.3,8.0
5,28.08,20.0
3,51.07,16.0
5,117.0,14.0
5,313.78,9.0
1,1692.05,40.0
5,98.11,6.0
5,30.53,12.0
4,84.24,12.0
5,95.34,17.0
1,757.68,22.0
5,124.29,10.0
5,44.42,15.0
5,66.05,7.0
4,177.58,24.0
5,139.69,13.0
3,91.05,11.0
1,94.31,17.0
3,355.38,4.0
4,43.22,16.0
5,56.76,5.0
5,133.46,14.0
5,413.59,14.0
4,123.38,6.0
4,378.91,6.0
5,139.81,7.0
5,223.54,10.0
5,148.58,8.0
1,115.79,7.0
3,25.46,7.0
3,57.98,4.0
3,41.26,7.0
4,101.9,7.0
1,101.9,7.0
5,35.86,21.0
5,49.76,8.0
5,258.5,1.0
1,246.64,13.0
5,206.99,14.0
3,27.6,24.0
2,29.49,33.0
5,71.27,13.0
5,247.68,10.0
5,158.94,6.0
5,157.16,7.0
3,695.61,13.0
5,22.46,9.0
4,105.28,8.0
5,54.33,9.0
3,123.33,5.0
5,157.91,23.0
5,59.68,6.0
4,147.33,2.0
5,41.72,4.0
5,102.64,7.0
5,81.55,6.0
4,102.13,33.0
4,149.14,24.0
2,123.04,40.0
5,110.98,6.0
4,129.49,4.0
4,220.97,4.0
1,173.59,33.0
4,130.69,13.0
5,169.3,2.0
3,81.11,21.0
5,315.84,23.0
5,68.3,4.0
5,24.28,10.0
4,78.68,6.0
4,317.53,12.0
5,154.9,7.0
5,38.13,31.0
4,127.89,7.0
5,48.91,7.0
5,24.35,7.0
5,50.95,15.0
4,117.94,8.0
4,61.05,18.0
5,109.35,1.0
5,43.11,17.0
5,137.83,6.0
5,1075.12,4.0
5,69.9,7.0
5,257.34,4.0
5,38.42,17.0
5,376.39,13.0
5,62.69,14.0
4,91.79,12.0
5,31.77,6.0
2,92.64,4.0
4,45.69,7.0
5,222.13,10.0
1,177.02,29.0
5,64.42,11.0
5,85.14,11.0
4,36.69,10.0
1,258.9,2.0
5,100.04,9.0
5,67.57,1.0
5,82.7,9.0
5,69.41,5.0
5,128.85,5.0
5,706.19,18.0
5,65.1,4.0
5,133.02,21.0
4,58.62,3.0
4,399.25,8.0
4,51.42,9.0
5,415.93,19.0
1,218.45,35.0
5,74.28,14.0
1,40.23,11.0
5,46.85,5.0
5,67.44,9.0
5,33.75,9.0
5,55.13,6.0
5,319.11,12.0
4,57.0,20.0
5,128.86,39.0
5,66.74,17.0
5,77.75,6.0
4,21.04,3.0
5,87.13,5.0
5,80.2,14.0
5,319.88,12.0
5,31.75,8.0
3,61.27,6.0
5,148.23,4.0
2,102.03,8.0
5,235.7,9.0
4,145.66,12.0
4,117.2,7.0
4,594.55,23.0
5,39.85,24.0
5,103.14,7.0
5,67.92,5.0
5,137.85,11.0
5,76.76,27.0
4,95.58,12.0
1,61.11,33.0
5,63.73,5.0
5,83.61,18.0
5,211.94,4.0
4,113.31,3.0
1,161.24,14.0
5,37.68,3.0
5,53.22,18.0
4,80.51,12.0
3,55.52,4.0
5,187.87,7.0
5,18.62,10.0
1,455.38,9.0
5,85.24,36.0
4,96.43,6.0
5,26.68,3.0
4,86.02,13.0
5,81.61,2.0
5,35.78,3.0
5,40.6,15.0
5,73.72,6.0
1,201.47,12.0
5,44.97,18.0
5,27.38,1.0
5,87.76,19.0
5,116.94,15.0
2,201.14,9.0
2,328.82,12.0
5,78.42,5.0
3,57.78,3.0
5,140.03,5.0
5,57.2,7.0
5,128.09,2.0
3,77.51,13.0
4,160.3,12.0
2,100.0,15.0
5,145.01,34.0
5,224.94,10.0
5,512.9,11.0
4,58.14,17.0
3,154.76,8.0
3,14.72,9.0
4,78.14,10.0
4,64.62,11.0
5,306.11,9.0
5,217.1,7.0
5,318.37,5.0
5,209.67,8.0
5,137.23,12.0
4,47.68,4.0
5,237.08,24.0
5,83.69,6.0
5,38.96,7.0
5,60.0,10.0
3,107.95,17.0
5,188.31,6.0
5,173.57,7.0
5,83.62,6.0
5,111.21,11.0
5,164.66,4.0
5,77.57,15.0
5,155.14,14.0
1,372.72,10.0
5,66.07,5.0
4,173.49,13.0
5,73.79,16.0
5,617.69,7.0
5,62.75,5.0
5,22.04,19.0
5,117.68,5.0
5,229.63,1.0
4,163.97,6.0
5,45.62,17.0
5,91.76,7.0
4,249.7,5.0
5,183.13,4.0
4,154.58,19.0
5,27.29,2.0
5,312.59,7.0
5,118.9,3.0
5,46.01,8.0
3,88.01,6.0
3,122.46,5.0
4,37.11,12.0
4,135.04,26.0
5,265.84,10.0
5,99.7,8.0
4,399.44,11.0
5,55.04,6.0
2,65.53,6.0
4,76.79,20.0
4,232.72,7.0
3,111.78,7.0
5,106.23,12.0
5,36.09,19.0
1,35.77,3.0
5,228.79,13.0
5,80.65,6.0
5,69.2,12.0
4,68.72,4.0
4,28.45,1.0
5,82.12,16.0
4,159.25,21.0
3,296.61,19.0
5,105.9,3.0
5,144.47,19.0
4,55.74,33.0
5,163.69,5.0
5,118.01,1.0
5,305.51,3.0
5,318.3,2.0
5,49.79,7.0
3,40.96,10.0
5,157.32,8.0
5,114.91,11.0
5,444.54,8.0
3,77.57,9.0
1,232.71,30.0
5,2223.12,46.0
5,158.51,11.0
2,222.68,39.0
5,65.71,2.0
3,304.14,9.0
5,70.89,6.0
1,139.98,28.0
5,261.82,16.0
5,74.49,14.0
1,303.76,16.0
5,33.16,6.0
5,101.46,9.0
5,37.26,1.0
5,133.15,6.0
4,46.79,11.0
5,93.26,9.0
5,183.29,20.0
4,211.56,12.0
5,47.03,17.0
1,189.37,54.0
5,107.28,6.0
5,62.99,16.0
5,85.23,11.0
5,99.7,11.0
1,124.85,5.0
5,56.69,22.0
5,107.41,4.0
5,217.06,13.0
5,86.48,20.0
3,145.57,10.0
5,79.8,21.0
2,143.41,1.0
5,89.41,2.0
5,168.93,12.0
5,68.31,4.0
5,115.36,12.0
5,61.7,9.0
5,473.12,7.0
5,135.82,5.0
5,211.41,2.0
5,309.28,6.0
4,98.81,2.0
5,251.82,10.0
5,124.4,4.0
5,161.08,7.0
1,107.87,31.0
1,107.87,31.0
3,155.14,19.0
5,99.9,12.0
5,38.09,9.0
5,210.29,7.0
4,63.42,17.0
3,271.08,26.0
5,124.57,7.0
4,110.08,5.0
5,294.66,3.0
5,333.6,14.0
5,211.77,7.0
5,136.6,11.0
1,64.4,5.0
4,1291.39,10.0
5,62.83,18.0
4,68.0,13.0
5,47.13,4.0
5,48.87,3.0
5,86.79,26.0
5,114.8,3.0
5,146.85,17.0
5,219.4,7.0
5,67.17,7.0
4,208.48,20.0
3,946.9,24.0
4,87.05,8.0
5,164.79,7.0
5,134.32,7.0
5,169.48,20.0
4,29.83,11.0
5,63.12,18.0
5,60.33,3.0
4,53.68,23.0
5,62.06,7.0
1,323.54,37.0
5,64.0,8.0
5,56.96,30.0
5,82.83,18.0
5,54.43,5.0
5,332.14,4.0
5,47.88,3.0
5,309.89,2.0
5,356.64,9.0
4,170.01,5.0
4,91.19,11.0
4,151.49,10.0
5,54.18,13.0
5,158.38,12.0
5,249.31,12.0
3,81.79,20.0
5,38.13,9.0
5,99.33,8.0
3,126.92,8.0
4,126.92,8.0
4,91.66,5.0
4,141.35,5.0
3,176.16,3.0
5,42.68,5.0
1,76.09,5.0
4,83.25,15.0
4,67.77,9.0
4,80.56,15.0
3,54.1,7.0
5,511.42,13.0
5,219.19,9.0
5,66.53,9.0
4,131.02,9.0
4,216.83,7.0
5,32.3,15.0
5,366.51,6.0
5,255.29,11.0
4,136.32,23.0
5,606.46,21.0
5,457.07,15.0
5,93.64,10.0
5,52.85,10.0
5,48.69,34.0
5,72.14,7.0
5,41.53,11.0
5,215.06,13.0
2,56.13,16.0
4,98.98,2.0
5,68.52,5.0
5,275.11,5.0
1,64.1,6.0
1,139.8,6.0
5,166.16,13.0
5,68.32,3.0
1,72.1,13.0
1,36.78,16.0
5,274.55,13.0
1,119.34,14.0
4,87.43,6.0
5,70.9,10.0
5,49.86,17.0
5,186.1,10.0
5,104.46,8.0
5,88.62,7.0
4,37.38,1.0
5,55.69,11.0
5,170.17,12.0
5,82.23,13.0
4,29.56,23.0
4,77.57,15.0
5,218.08,6.0
3,33.83,16.0
5,114.45,5.0
5,34.22,9.0
1,141.74,37.0
4,47.91,5.0
5,37.36,4.0
1,590.08,26.0
3,164.79,8.0
5,43.17,7.0
4,106.69,2.0
5,108.42,6.0
5,26.84,17.0
5,106.87,12.0
5,81.33,7.0
5,57.37,4.0
5,21.22,6.0
5,197.27,17.0
5,166.35,20.0
5,31.17,6.0
5,66.69,9.0
4,166.4,12.0
4,82.67,31.0
5,321.51,6.0
4,61.98,2.0
3,190.43,17.0
5,44.0,8.0
5,609.24,13.0
5,96.43,5.0
1,102.17,32.0
5,165.09,9.0
1,27.3,2.0
5,52.58,3.0
5,26.58,7.0
5,175.56,14.0
5,101.63,18.0
5,166.29,26.0
5,64.96,6.0
5,65.87,14.0
4,162.04,13.0
5,21.95,14.0
1,74.87,24.0
3,133.75,59.0
1,169.49,24.0
4,38.64,9.0
3,263.61,10.0
5,150.37,6.0
4,76.86,40.0
5,34.99,8.0
4,35.13,9.0
5,145.56,12.0
1,241.22,48.0
5,264.24,3.0
5,42.78,4.0
5,231.45,11.0
5,35.79,6.0
5,253.38,19.0
5,63.37,8.0
5,194.12,12.0
5,88.27,7.0
5,175.86,11.0
4,113.67,14.0
5,37.18,25.0
1,253.01,9.0
1,85.14,36.0
1,334.12,5.0
5,185.03,3.0
5,30.1,20.0
5,67.83,15.0
5,46.77,10.0
5,257.77,13.0
4,102.72,7.0
1,54.38,15.0
4,340.08,7.0
4,29.22,22.0
3,69.53,8.0
4,144.11,5.0
5,161.37,7.0
3,32.43,3.0
5,537.16,21.0
5,190.87,12.0
1,74.08,19.0
5,73.56,8.0
1,157.75,7.0
2,97.32,7.0
3,99.43,12.0
5,104.76,20.0
2,165.83,29.0
4,138.94,9.0
4,174.19,9.0
2,53.23,10.0
5,147.94,13.0
4,225.72,12.0
5,179.04,14.0
5,55.6,18.0
5,1157.41,22.0
5,116.97,5.0
5,269.97,5.0
5,92.3,7.0
5,56.87,5.0
5,325.93,19.0
5,59.24,9.0
5,70.12,17.0
5,63.35,5.0
5,58.0,11.0
5,294.7,19.0
5,131.11,8.0
5,28.98,9.0
5,163.68,5.0
1,197.95,20.0
4,2024.31,15.0
5,51.84,11.0
2,255.84,17.0
1,165.7,28.0
5,121.87,1.0
3,80.75,16.0
3,38.04,20.0
4,56.5,4.0
3,60.85,13.0
5,63.27,18.0
5,95.56,6.0
5,101.48,17.0
1,107.78,25.0
5,248.91,8.0
4,71.07,5.0
4,133.9,6.0
5,23.68,7.0
3,209.11,4.0
5,117.13,5.0
5,100.47,5.0
4,129.22,7.0
5,87.05,35.0
1,188.62,20.0
1,95.31,3.0
5,132.58,12.0
5,83.82,24.0
5,137.17,11.0
5,164.32,11.0
5,33.23,7.0
4,89.82,12.0
5,196.01,27.0
5,91.19,11.0
5,112.92,18.0
4,136.0,13.0
1,21.59,5.0
5,198.56,16.0
3,33.1,23.0
4,85.8,6.0
5,32.68,15.0
1,248.76,33.0
5,144.01,8.0
5,42.03,18.0
4,196.29,5.0
5,145.86,6.0
4,217.78,18.0
5,57.68,4.0
3,731.37,32.0
2,217.78,28.0
5,138.21,5.0
4,38.14,6.0
5,142.01,5.0
5,65.38,4.0
5,54.0,12.0
4,80.12,11.0
5,150.69,11.0
4,187.43,13.0
5,153.5,3.0
5,122.81,16.0
5,110.7,12.0
5,228.49,2.0
4,140.47,6.0
4,174.72,5.0
5,146.24,26.0
4,119.84,11.0
5,1471.51,6.0
5,107.89,2.0
4,75.22,11.0
5,64.78,2.0
5,257.99,3.0
4,225.71,18.0
5,204.24,14.0
5,155.73,16.0
5,169.51,7.0
3,111.51,7.0
4,46.39,3.0
5,96.02,12.0
4,291.72,12.0
4,210.92,10.0
3,486.3,11.0
5,238.08,6.0
4,83.41,6.0
4,147.45,8.0
5,117.94,7.0
5,136.91,3.0
4,124.85,6.0
5,183.85,19.0
5,235.84,1.0
5,67.5,23.0
3,116.94,25.0
5,83.42,24.0
4,376.45,15.0
4,38.37,5.0
5,202.79,6.0
1,90.58,31.0
5,50.1,8.0
5,118.93,7.0
5,64.62,11.0
5,132.13,4.0
5,200.45,2.0
5,116.36,10.0
5,171.3,3.0
1,224.51,9.0
5,37.83,4.0
2,84.03,6.0
5,82.39,3.0
5,161.97,1.0
4,36.35,8.0
5,108.21,10.0
4,163.83,1.0
1,386.65,1.0
3,31.77,5.0
5,188.94,1.0
4,94.7,19.0
4,56.6,2.0
5,65.1,15.0
5,198.96,4.0
4,320.07,9.0
5,73.34,11.0
3,56.86,5.0
3,98.93,9.0
4,125.61,10.0
